,,,Prevalence of Diagnosed Health Conditions by State and Household Income,Prevalence of Diagnosed Health Conditions by State and Household Income,Prevalence of Diagnosed Health Conditions by State and Household Income
Montana,Pre-diabetes or borderline diabetes,18+,2014,Percent,1%
Montana,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"3,011"
Montana,Pre-diabetes or borderline diabetes,18+,2015,Percent,2%
Montana,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"2,898"
Montana,Pre-diabetes or borderline diabetes,18+,2016,Percent,3%
Montana,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"5,858"
Montana,Heart disease (angina or CHD),18+,2013,Percent,5%
Montana,Heart disease (angina or CHD),18+,2013,Num of persons,"10,848"
Montana,Heart disease (angina or CHD),18+,2014,Percent,5%
Montana,Heart disease (angina or CHD),18+,2014,Num of persons,"9,616"
Montana,Heart disease (angina or CHD),18+,2015,Percent,5%
Montana,Heart disease (angina or CHD),18+,2015,Num of persons,"7,974"
Montana,Heart disease (angina or CHD),18+,2016,Percent,6%
Montana,Heart disease (angina or CHD),18+,2016,Num of persons,"10,383"
Montana,High cholesterol (among those tested),18+,2013,Percent,36%
Montana,High cholesterol (among those tested),18+,2013,Num of persons,"55,206"
Montana,High cholesterol (among those tested),18+,2014,Percent,NA
Montana,High cholesterol (among those tested),18+,2014,Num of persons,NA
Montana,High cholesterol (among those tested),18+,2015,Percent,38%
Montana,High cholesterol (among those tested),18+,2015,Num of persons,"45,175"
Montana,High cholesterol (among those tested),18+,2016,Percent,NA
Montana,High cholesterol (among those tested),18+,2016,Num of persons,NA
Montana,Hypertension,18+,2013,Percent,32%
Montana,Hypertension,18+,2013,Num of persons,"73,391"
Montana,Hypertension,18+,2014,Percent,NA
Montana,Hypertension,18+,2014,Num of persons,NA
Montana,Hypertension,18+,2015,Percent,36%
Montana,Hypertension,18+,2015,Num of persons,"63,847"
Montana,Hypertension,18+,2016,Percent,NA
Montana,Hypertension,18+,2016,Num of persons,NA
North Carolina,Arthritis,18+,2013,Percent,35%
North Carolina,Arthritis,18+,2013,Num of persons,"725,556"
North Carolina,Arthritis,18+,2014,Percent,35%
North Carolina,Arthritis,18+,2014,Num of persons,"709,728"
North Carolina,Arthritis,18+,2015,Percent,35%
North Carolina,Arthritis,18+,2015,Num of persons,"696,674"
North Carolina,Arthritis,18+,2016,Percent,32%
North Carolina,Arthritis,18+,2016,Num of persons,"624,469"
North Carolina,Asthma (current),18+,2013,Percent,12%
North Carolina,Asthma (current),18+,2013,Num of persons,"256,857"
North Carolina,Asthma (current),18+,2014,Percent,11%
North Carolina,Asthma (current),18+,2014,Num of persons,"222,960"
North Carolina,Asthma (current),18+,2015,Percent,12%
North Carolina,Asthma (current),18+,2015,Num of persons,"233,184"
North Carolina,Asthma (current),18+,2016,Percent,10%
North Carolina,Asthma (current),18+,2016,Num of persons,"197,309"
North Carolina,Cancer,18+,2013,Percent,11%
North Carolina,Cancer,18+,2013,Num of persons,"237,137"
North Carolina,Cancer,18+,2014,Percent,11%
North Carolina,Cancer,18+,2014,Num of persons,"216,365"
North Carolina,Cancer,18+,2015,Percent,13%
North Carolina,Cancer,18+,2015,Num of persons,"259,072"
North Carolina,Cancer,18+,2016,Percent,12%
North Carolina,Cancer,18+,2016,Num of persons,"241,102"
North Carolina,Chronic kidney disease,18+,2013,Percent,4%
North Carolina,Chronic kidney disease,18+,2013,Num of persons,"79,722"
North Carolina,Chronic kidney disease,18+,2014,Percent,4%
North Carolina,Chronic kidney disease,18+,2014,Num of persons,"80,260"
North Carolina,Chronic kidney disease,18+,2015,Percent,5%
North Carolina,Chronic kidney disease,18+,2015,Num of persons,"89,870"
North Carolina,Chronic kidney disease,18+,2016,Percent,5%
North Carolina,Chronic kidney disease,18+,2016,Num of persons,"100,713"
North Carolina,COPD,18+,2013,Percent,14%
North Carolina,COPD,18+,2013,Num of persons,"295,063"
North Carolina,COPD,18+,2014,Percent,13%
North Carolina,COPD,18+,2014,Num of persons,"271,673"
North Carolina,COPD,18+,2015,Percent,14%
North Carolina,COPD,18+,2015,Num of persons,"270,485"
North Carolina,COPD,18+,2016,Percent,13%
North Carolina,COPD,18+,2016,Num of persons,"255,302"
North Carolina,Depression,18+,2013,Percent,28%
North Carolina,Depression,18+,2013,Num of persons,"594,407"
North Carolina,Depression,18+,2014,Percent,27%
North Carolina,Depression,18+,2014,Num of persons,"547,329"
North Carolina,Depression,18+,2015,Percent,27%
North Carolina,Depression,18+,2015,Num of persons,"543,702"
North Carolina,Depression,18+,2016,Percent,29%
North Carolina,Depression,18+,2016,Num of persons,"569,592"
North Carolina,Diabetes,18+,2013,Percent,16%
North Carolina,Diabetes,18+,2013,Num of persons,"329,411"
North Carolina,Diabetes,18+,2014,Percent,16%
North Carolina,Diabetes,18+,2014,Num of persons,"321,486"
North Carolina,Diabetes,18+,2015,Percent,16%
North Carolina,Diabetes,18+,2015,Num of persons,"323,237"
North Carolina,Diabetes,18+,2016,Percent,16%
North Carolina,Diabetes,18+,2016,Num of persons,"311,855"
North Carolina,Pre-diabetes or borderline diabetes,18+,2013,Percent,8%
North Carolina,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"163,148"
North Carolina,Pre-diabetes or borderline diabetes,18+,2014,Percent,2%
North Carolina,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"39,100"
North Carolina,Pre-diabetes or borderline diabetes,18+,2015,Percent,7%
North Carolina,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"143,763"
North Carolina,Pre-diabetes or borderline diabetes,18+,2016,Percent,2%
North Carolina,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"47,858"
North Carolina,Heart disease (angina or CHD),18+,2013,Percent,6%
North Carolina,Heart disease (angina or CHD),18+,2013,Num of persons,"134,265"
North Carolina,Heart disease (angina or CHD),18+,2014,Percent,8%
North Carolina,Heart disease (angina or CHD),18+,2014,Num of persons,"163,796"
North Carolina,Heart disease (angina or CHD),18+,2015,Percent,7%
North Carolina,Heart disease (angina or CHD),18+,2015,Num of persons,"145,119"
North Carolina,Heart disease (angina or CHD),18+,2016,Percent,7%
North Carolina,Heart disease (angina or CHD),18+,2016,Num of persons,"137,387"
North Carolina,High cholesterol (among those tested),18+,2013,Percent,46%
North Carolina,High cholesterol (among those tested),18+,2013,Num of persons,"724,077"
North Carolina,High cholesterol (among those tested),18+,2014,Percent,NA
North Carolina,High cholesterol (among those tested),18+,2014,Num of persons,NA
North Carolina,High cholesterol (among those tested),18+,2015,Percent,46%
North Carolina,High cholesterol (among those tested),18+,2015,Num of persons,"670,332"
North Carolina,High cholesterol (among those tested),18+,2016,Percent,NA
North Carolina,High cholesterol (among those tested),18+,2016,Num of persons,NA
North Carolina,Hypertension,18+,2013,Percent,41%
North Carolina,Hypertension,18+,2013,Num of persons,"865,341"
North Carolina,Hypertension,18+,2014,Percent,NA
North Carolina,Hypertension,18+,2014,Num of persons,NA
North Carolina,Hypertension,18+,2015,Percent,43%
North Carolina,Hypertension,18+,2015,Num of persons,"854,530"
North Carolina,Hypertension,18+,2016,Percent,NA
North Carolina,Hypertension,18+,2016,Num of persons,NA
North Dakota,Arthritis,18+,2013,Percent,35%
North Dakota,Arthritis,18+,2013,Num of persons,"40,724"
North Dakota,Arthritis,18+,2014,Percent,31%
North Dakota,Arthritis,18+,2014,Num of persons,"36,259"
North Dakota,Arthritis,18+,2015,Percent,30%
North Dakota,Arthritis,18+,2015,Num of persons,"29,902"
North Dakota,Arthritis,18+,2016,Percent,35%
North Dakota,Arthritis,18+,2016,Num of persons,"35,105"
North Dakota,Asthma (current),18+,2013,Percent,11%
North Dakota,Asthma (current),18+,2013,Num of persons,"12,721"
North Dakota,Asthma (current),18+,2014,Percent,13%
North Dakota,Asthma (current),18+,2014,Num of persons,"14,818"
North Dakota,Asthma (current),18+,2015,Percent,14%
North Dakota,Asthma (current),18+,2015,Num of persons,"13,847"
North Dakota,Asthma (current),18+,2016,Percent,13%
North Dakota,Asthma (current),18+,2016,Num of persons,"13,027"
North Dakota,Cancer,18+,2013,Percent,12%
North Dakota,Cancer,18+,2013,Num of persons,"13,554"
North Dakota,Cancer,18+,2014,Percent,12%
North Dakota,Cancer,18+,2014,Num of persons,"13,839"
North Dakota,Cancer,18+,2015,Percent,11%
North Dakota,Cancer,18+,2015,Num of persons,"11,387"
North Dakota,Cancer,18+,2016,Percent,15%
North Dakota,Cancer,18+,2016,Num of persons,"15,180"
North Dakota,Chronic kidney disease,18+,2013,Percent,4%
North Dakota,Chronic kidney disease,18+,2013,Num of persons,"4,514"
North Dakota,Chronic kidney disease,18+,2014,Percent,3%
North Dakota,Chronic kidney disease,18+,2014,Num of persons,"3,982"
North Dakota,Chronic kidney disease,18+,2015,Percent,4%
North Dakota,Chronic kidney disease,18+,2015,Num of persons,"4,084"
North Dakota,Chronic kidney disease,18+,2016,Percent,4%
North Dakota,Chronic kidney disease,18+,2016,Num of persons,"4,317"
North Dakota,COPD,18+,2013,Percent,10%
North Dakota,COPD,18+,2013,Num of persons,"11,572"
North Dakota,COPD,18+,2014,Percent,10%
North Dakota,COPD,18+,2014,Num of persons,"11,363"
North Dakota,COPD,18+,2015,Percent,10%
North Dakota,COPD,18+,2015,Num of persons,"9,696"
North Dakota,COPD,18+,2016,Percent,12%
North Dakota,COPD,18+,2016,Num of persons,"12,506"
North Dakota,Depression,18+,2013,Percent,25%
North Dakota,Depression,18+,2013,Num of persons,"28,609"
North Dakota,Depression,18+,2014,Percent,25%
North Dakota,Depression,18+,2014,Num of persons,"29,901"
North Dakota,Depression,18+,2015,Percent,26%
North Dakota,Depression,18+,2015,Num of persons,"24,736"
North Dakota,Depression,18+,2016,Percent,27%
North Dakota,Depression,18+,2016,Num of persons,"26,865"
North Dakota,Diabetes,18+,2013,Percent,13%
North Dakota,Diabetes,18+,2013,Num of persons,"15,224"
North Dakota,Diabetes,18+,2014,Percent,11%
North Dakota,Diabetes,18+,2014,Num of persons,"13,017"
North Dakota,Diabetes,18+,2015,Percent,15%
North Dakota,Diabetes,18+,2015,Num of persons,"14,767"
North Dakota,Diabetes,18+,2016,Percent,14%
North Dakota,Diabetes,18+,2016,Num of persons,"13,990"
North Dakota,Pre-diabetes or borderline diabetes,18+,2013,Percent,7%
North Dakota,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"7,565"
North Dakota,Pre-diabetes or borderline diabetes,18+,2014,Percent,5%
North Dakota,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"6,438"
North Dakota,Pre-diabetes or borderline diabetes,18+,2015,Percent,1%
North Dakota,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,935
North Dakota,Pre-diabetes or borderline diabetes,18+,2016,Percent,2%
North Dakota,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"1,971"
North Dakota,Heart disease (angina or CHD),18+,2013,Percent,7%
North Dakota,Heart disease (angina or CHD),18+,2013,Num of persons,"7,617"
North Dakota,Heart disease (angina or CHD),18+,2014,Percent,6%
North Dakota,Heart disease (angina or CHD),18+,2014,Num of persons,"7,017"
North Dakota,Heart disease (angina or CHD),18+,2015,Percent,8%
North Dakota,Heart disease (angina or CHD),18+,2015,Num of persons,"7,407"
North Dakota,Heart disease (angina or CHD),18+,2016,Percent,6%
North Dakota,Heart disease (angina or CHD),18+,2016,Num of persons,"6,151"
North Dakota,High cholesterol (among those tested),18+,2013,Percent,43%
North Dakota,High cholesterol (among those tested),18+,2013,Num of persons,"34,499"
North Dakota,High cholesterol (among those tested),18+,2014,Percent,NA
North Dakota,High cholesterol (among those tested),18+,2014,Num of persons,NA
North Dakota,High cholesterol (among those tested),18+,2015,Percent,39%
North Dakota,High cholesterol (among those tested),18+,2015,Num of persons,"26,097"
North Dakota,High cholesterol (among those tested),18+,2016,Percent,NA
North Dakota,High cholesterol (among those tested),18+,2016,Num of persons,NA
North Dakota,Hypertension,18+,2013,Percent,38%
North Dakota,Hypertension,18+,2013,Num of persons,"43,890"
North Dakota,Hypertension,18+,2014,Percent,NA
North Dakota,Hypertension,18+,2014,Num of persons,NA
North Dakota,Hypertension,18+,2015,Percent,40%
North Dakota,Hypertension,18+,2015,Num of persons,"39,873"
North Dakota,Hypertension,18+,2016,Percent,NA
North Dakota,Hypertension,18+,2016,Num of persons,NA
Nebraska,Arthritis,18+,2013,Percent,30%
Nebraska,Arthritis,18+,2013,Num of persons,"96,793"
Nebraska,Arthritis,18+,2014,Percent,30%
Nebraska,Arthritis,18+,2014,Num of persons,"95,608"
Nebraska,Arthritis,18+,2015,Percent,28%
Nebraska,Arthritis,18+,2015,Num of persons,"83,333"
Nebraska,Arthritis,18+,2016,Percent,30%
Nebraska,Arthritis,18+,2016,Num of persons,"89,702"
Nebraska,Asthma (current),18+,2013,Percent,12%
Nebraska,Asthma (current),18+,2013,Num of persons,"38,565"
Nebraska,Asthma (current),18+,2014,Percent,12%
Nebraska,Asthma (current),18+,2014,Num of persons,"36,324"
Nebraska,Asthma (current),18+,2015,Percent,10%
Nebraska,Asthma (current),18+,2015,Num of persons,"29,731"
Nebraska,Asthma (current),18+,2016,Percent,14%
Nebraska,Asthma (current),18+,2016,Num of persons,"42,464"
Nebraska,Cancer,18+,2013,Percent,13%
Nebraska,Cancer,18+,2013,Num of persons,"42,340"
Nebraska,Cancer,18+,2014,Percent,11%
Nebraska,Cancer,18+,2014,Num of persons,"35,796"
Nebraska,Cancer,18+,2015,Percent,12%
Nebraska,Cancer,18+,2015,Num of persons,"35,316"
Nebraska,Cancer,18+,2016,Percent,12%
Nebraska,Cancer,18+,2016,Num of persons,"37,395"
Nebraska,Chronic kidney disease,18+,2013,Percent,3%
Nebraska,Chronic kidney disease,18+,2013,Num of persons,"10,469"
Nebraska,Chronic kidney disease,18+,2014,Percent,3%
Nebraska,Chronic kidney disease,18+,2014,Num of persons,"10,164"
Nebraska,Chronic kidney disease,18+,2015,Percent,3%
Nebraska,Chronic kidney disease,18+,2015,Num of persons,"9,565"
Nebraska,Chronic kidney disease,18+,2016,Percent,4%
Nebraska,Chronic kidney disease,18+,2016,Num of persons,"12,187"
Nebraska,COPD,18+,2013,Percent,11%
Nebraska,COPD,18+,2013,Num of persons,"34,886"
Nebraska,COPD,18+,2014,Percent,11%
Nebraska,COPD,18+,2014,Num of persons,"35,573"
Nebraska,COPD,18+,2015,Percent,11%
Nebraska,COPD,18+,2015,Num of persons,"33,123"
Nebraska,COPD,18+,2016,Percent,11%
Nebraska,COPD,18+,2016,Num of persons,"34,369"
Nebraska,Depression,18+,2013,Percent,28%
Nebraska,Depression,18+,2013,Num of persons,"93,609"
Nebraska,Depression,18+,2014,Percent,26%
Nebraska,Depression,18+,2014,Num of persons,"82,266"
Nebraska,Depression,18+,2015,Percent,24%
Nebraska,Depression,18+,2015,Num of persons,"72,215"
Nebraska,Depression,18+,2016,Percent,28%
Nebraska,Depression,18+,2016,Num of persons,"85,266"
Nebraska,Diabetes,18+,2013,Percent,13%
Nebraska,Diabetes,18+,2013,Num of persons,"43,092"
Nebraska,Diabetes,18+,2014,Percent,14%
Nebraska,Diabetes,18+,2014,Num of persons,"43,174"
Nebraska,Diabetes,18+,2015,Percent,12%
Nebraska,Diabetes,18+,2015,Num of persons,"36,153"
Nebraska,Diabetes,18+,2016,Percent,12%
Nebraska,Diabetes,18+,2016,Num of persons,"37,231"
Nebraska,Pre-diabetes or borderline diabetes,18+,2013,Percent,2%
Nebraska,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"7,388"
Nebraska,Pre-diabetes or borderline diabetes,18+,2014,Percent,1%
Nebraska,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"3,053"
Nebraska,Pre-diabetes or borderline diabetes,18+,2015,Percent,2%
Nebraska,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"7,029"
Nebraska,Pre-diabetes or borderline diabetes,18+,2016,Percent,6%
Nebraska,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"19,474"
Nebraska,Heart disease (angina or CHD),18+,2013,Percent,6%
Nebraska,Heart disease (angina or CHD),18+,2013,Num of persons,"18,783"
Nebraska,Heart disease (angina or CHD),18+,2014,Percent,6%
Nebraska,Heart disease (angina or CHD),18+,2014,Num of persons,"19,241"
Nebraska,Heart disease (angina or CHD),18+,2015,Percent,6%
Nebraska,Heart disease (angina or CHD),18+,2015,Num of persons,"17,306"
Nebraska,Heart disease (angina or CHD),18+,2016,Percent,5%
Nebraska,Heart disease (angina or CHD),18+,2016,Num of persons,"14,562"
Nebraska,High cholesterol (among those tested),18+,2013,Percent,42%
Nebraska,High cholesterol (among those tested),18+,2013,Num of persons,"90,825"
Nebraska,High cholesterol (among those tested),18+,2014,Percent,NA
Nebraska,High cholesterol (among those tested),18+,2014,Num of persons,NA
Nebraska,High cholesterol (among those tested),18+,2015,Percent,37%
Nebraska,High cholesterol (among those tested),18+,2015,Num of persons,"72,850"
Nebraska,High cholesterol (among those tested),18+,2016,Percent,NA
Nebraska,High cholesterol (among those tested),18+,2016,Num of persons,NA
Nebraska,Hypertension,18+,2013,Percent,34%
Nebraska,Hypertension,18+,2013,Num of persons,"113,783"
Nebraska,Hypertension,18+,2014,Percent,NA
Nebraska,Hypertension,18+,2014,Num of persons,NA
Nebraska,Hypertension,18+,2015,Percent,33%
Nebraska,Hypertension,18+,2015,Num of persons,"97,828"
Nebraska,Hypertension,18+,2016,Percent,NA
Nebraska,Hypertension,18+,2016,Num of persons,NA
New Hampshire,Arthritis,18+,2013,Percent,38%
New Hampshire,Arthritis,18+,2013,Num of persons,"71,420"
New Hampshire,Arthritis,18+,2014,Percent,39%
New Hampshire,Arthritis,18+,2014,Num of persons,"70,174"
New Hampshire,Arthritis,18+,2015,Percent,38%
New Hampshire,Arthritis,18+,2015,Num of persons,"59,212"
New Hampshire,Arthritis,18+,2016,Percent,39%
New Hampshire,Arthritis,18+,2016,Num of persons,"58,333"
New Hampshire,Asthma (current),18+,2013,Percent,16%
New Hampshire,Asthma (current),18+,2013,Num of persons,"30,633"
New Hampshire,Asthma (current),18+,2014,Percent,20%
New Hampshire,Asthma (current),18+,2014,Num of persons,"35,545"
New Hampshire,Asthma (current),18+,2015,Percent,14%
New Hampshire,Asthma (current),18+,2015,Num of persons,"21,320"
New Hampshire,Asthma (current),18+,2016,Percent,17%
New Hampshire,Asthma (current),18+,2016,Num of persons,"24,899"
New Hampshire,Cancer,18+,2013,Percent,13%
New Hampshire,Cancer,18+,2013,Num of persons,"25,410"
New Hampshire,Cancer,18+,2014,Percent,16%
New Hampshire,Cancer,18+,2014,Num of persons,"28,617"
New Hampshire,Cancer,18+,2015,Percent,14%
New Hampshire,Cancer,18+,2015,Num of persons,"21,070"
New Hampshire,Cancer,18+,2016,Percent,14%
New Hampshire,Cancer,18+,2016,Num of persons,"20,280"
New Hampshire,Chronic kidney disease,18+,2013,Percent,4%
New Hampshire,Chronic kidney disease,18+,2013,Num of persons,"8,055"
New Hampshire,Chronic kidney disease,18+,2014,Percent,4%
New Hampshire,Chronic kidney disease,18+,2014,Num of persons,"7,918"
New Hampshire,Chronic kidney disease,18+,2015,Percent,5%
New Hampshire,Chronic kidney disease,18+,2015,Num of persons,"7,383"
New Hampshire,Chronic kidney disease,18+,2016,Percent,5%
New Hampshire,Chronic kidney disease,18+,2016,Num of persons,"6,882"
New Hampshire,COPD,18+,2013,Percent,16%
New Hampshire,COPD,18+,2013,Num of persons,"30,944"
New Hampshire,COPD,18+,2014,Percent,15%
New Hampshire,COPD,18+,2014,Num of persons,"27,569"
New Hampshire,COPD,18+,2015,Percent,14%
New Hampshire,COPD,18+,2015,Num of persons,"22,213"
New Hampshire,COPD,18+,2016,Percent,14%
New Hampshire,COPD,18+,2016,Num of persons,"20,430"
New Hampshire,Depression,18+,2013,Percent,33%
New Hampshire,Depression,18+,2013,Num of persons,"63,339"
New Hampshire,Depression,18+,2014,Percent,37%
New Hampshire,Depression,18+,2014,Num of persons,"66,051"
New Hampshire,Depression,18+,2015,Percent,38%
New Hampshire,Depression,18+,2015,Num of persons,"58,583"
New Hampshire,Depression,18+,2016,Percent,36%
New Hampshire,Depression,18+,2016,Num of persons,"53,022"
New Hampshire,Diabetes,18+,2013,Percent,14%
New Hampshire,Diabetes,18+,2013,Num of persons,"26,777"
New Hampshire,Diabetes,18+,2014,Percent,13%
New Hampshire,Diabetes,18+,2014,Num of persons,"23,969"
New Hampshire,Diabetes,18+,2015,Percent,13%
New Hampshire,Diabetes,18+,2015,Num of persons,"20,857"
New Hampshire,Diabetes,18+,2016,Percent,15%
New Hampshire,Diabetes,18+,2016,Num of persons,"22,798"
New Hampshire,Pre-diabetes or borderline diabetes,18+,2013,Percent,7%
New Hampshire,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"13,695"
New Hampshire,Pre-diabetes or borderline diabetes,18+,2014,Percent,1%
New Hampshire,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"1,412"
New Hampshire,Pre-diabetes or borderline diabetes,18+,2015,Percent,1%
New Hampshire,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"1,979"
New Hampshire,Pre-diabetes or borderline diabetes,18+,2016,Percent,2%
New Hampshire,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"3,706"
New Hampshire,Heart disease (angina or CHD),18+,2013,Percent,8%
New Hampshire,Heart disease (angina or CHD),18+,2013,Num of persons,"15,518"
New Hampshire,Heart disease (angina or CHD),18+,2014,Percent,6%
New Hampshire,Heart disease (angina or CHD),18+,2014,Num of persons,"11,611"
New Hampshire,Heart disease (angina or CHD),18+,2015,Percent,6%
New Hampshire,Heart disease (angina or CHD),18+,2015,Num of persons,"10,094"
New Hampshire,Heart disease (angina or CHD),18+,2016,Percent,7%
New Hampshire,Heart disease (angina or CHD),18+,2016,Num of persons,"9,781"
New Hampshire,High cholesterol (among those tested),18+,2013,Percent,42%
New Hampshire,High cholesterol (among those tested),18+,2013,Num of persons,"61,511"
New Hampshire,High cholesterol (among those tested),18+,2014,Percent,NA
New Hampshire,High cholesterol (among those tested),18+,2014,Num of persons,NA
New Hampshire,High cholesterol (among those tested),18+,2015,Percent,42%
New Hampshire,High cholesterol (among those tested),18+,2015,Num of persons,"51,334"
New Hampshire,High cholesterol (among those tested),18+,2016,Percent,NA
New Hampshire,High cholesterol (among those tested),18+,2016,Num of persons,NA
New Hampshire,Hypertension,18+,2013,Percent,37%
New Hampshire,Hypertension,18+,2013,Num of persons,"69,768"
New Hampshire,Hypertension,18+,2014,Percent,NA
New Hampshire,Hypertension,18+,2014,Num of persons,NA
New Hampshire,Hypertension,18+,2015,Percent,35%
New Hampshire,Hypertension,18+,2015,Num of persons,"54,894"
New Hampshire,Hypertension,18+,2016,Percent,NA
New Hampshire,Hypertension,18+,2016,Num of persons,NA
New Jersey,Arthritis,18+,2013,Percent,28%
New Jersey,Arthritis,18+,2013,Num of persons,"394,507"
New Jersey,Arthritis,18+,2014,Percent,29%
New Jersey,Arthritis,18+,2014,Num of persons,"396,502"
New Jersey,Arthritis,18+,2015,Percent,27%
New Jersey,Arthritis,18+,2015,Num of persons,"341,472"
New Jersey,Arthritis,18+,2016,Percent,27%
New Jersey,Arthritis,18+,2016,Num of persons,"351,138"
New Jersey,Asthma (current),18+,2013,Percent,11%
New Jersey,Asthma (current),18+,2013,Num of persons,"156,625"
New Jersey,Asthma (current),18+,2014,Percent,11%
New Jersey,Asthma (current),18+,2014,Num of persons,"149,588"
New Jersey,Asthma (current),18+,2015,Percent,11%
New Jersey,Asthma (current),18+,2015,Num of persons,"133,249"
New Jersey,Asthma (current),18+,2016,Percent,11%
New Jersey,Asthma (current),18+,2016,Num of persons,"145,026"
New Jersey,Cancer,18+,2013,Percent,9%
New Jersey,Cancer,18+,2013,Num of persons,"124,349"
New Jersey,Cancer,18+,2014,Percent,8%
New Jersey,Cancer,18+,2014,Num of persons,"112,769"
New Jersey,Cancer,18+,2015,Percent,9%
New Jersey,Cancer,18+,2015,Num of persons,"106,882"
New Jersey,Cancer,18+,2016,Percent,10%
New Jersey,Cancer,18+,2016,Num of persons,"131,019"
New Jersey,Chronic kidney disease,18+,2013,Percent,4%
New Jersey,Chronic kidney disease,18+,2013,Num of persons,"52,636"
New Jersey,Chronic kidney disease,18+,2014,Percent,4%
New Jersey,Chronic kidney disease,18+,2014,Num of persons,"52,625"
New Jersey,Chronic kidney disease,18+,2015,Percent,3%
New Jersey,Chronic kidney disease,18+,2015,Num of persons,"36,227"
New Jersey,Chronic kidney disease,18+,2016,Percent,4%
New Jersey,Chronic kidney disease,18+,2016,Num of persons,"52,771"
New Jersey,COPD,18+,2013,Percent,9%
New Jersey,COPD,18+,2013,Num of persons,"128,908"
New Jersey,COPD,18+,2014,Percent,10%
New Jersey,COPD,18+,2014,Num of persons,"138,603"
New Jersey,COPD,18+,2015,Percent,8%
New Jersey,COPD,18+,2015,Num of persons,"105,734"
New Jersey,COPD,18+,2016,Percent,11%
New Jersey,COPD,18+,2016,Num of persons,"142,400"
New Jersey,Depression,18+,2013,Percent,20%
New Jersey,Depression,18+,2013,Num of persons,"288,104"
New Jersey,Depression,18+,2014,Percent,21%
New Jersey,Depression,18+,2014,Num of persons,"287,751"
New Jersey,Depression,18+,2015,Percent,19%
New Jersey,Depression,18+,2015,Num of persons,"233,747"
New Jersey,Depression,18+,2016,Percent,19%
New Jersey,Depression,18+,2016,Num of persons,"252,815"
New Jersey,Diabetes,18+,2013,Percent,13%
New Jersey,Diabetes,18+,2013,Num of persons,"177,769"
New Jersey,Diabetes,18+,2014,Percent,14%
New Jersey,Diabetes,18+,2014,Num of persons,"199,876"
New Jersey,Diabetes,18+,2015,Percent,14%
New Jersey,Diabetes,18+,2015,Num of persons,"170,687"
New Jersey,Diabetes,18+,2016,Percent,14%
New Jersey,Diabetes,18+,2016,Num of persons,"192,130"
New Jersey,Pre-diabetes or borderline diabetes,18+,2013,Percent,2%
New Jersey,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"25,479"
New Jersey,Pre-diabetes or borderline diabetes,18+,2014,Percent,8%
New Jersey,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"104,262"
New Jersey,Pre-diabetes or borderline diabetes,18+,2015,Percent,2%
New Jersey,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"27,233"
New Jersey,Pre-diabetes or borderline diabetes,18+,2016,Percent,3%
New Jersey,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"44,420"
New Jersey,Heart disease (angina or CHD),18+,2013,Percent,6%
New Jersey,Heart disease (angina or CHD),18+,2013,Num of persons,"83,914"
New Jersey,Heart disease (angina or CHD),18+,2014,Percent,7%
New Jersey,Heart disease (angina or CHD),18+,2014,Num of persons,"94,837"
New Jersey,Heart disease (angina or CHD),18+,2015,Percent,6%
New Jersey,Heart disease (angina or CHD),18+,2015,Num of persons,"69,105"
New Jersey,Heart disease (angina or CHD),18+,2016,Percent,6%
New Jersey,Heart disease (angina or CHD),18+,2016,Num of persons,"76,971"
New Jersey,High cholesterol (among those tested),18+,2013,Percent,44%
New Jersey,High cholesterol (among those tested),18+,2013,Num of persons,"452,991"
New Jersey,High cholesterol (among those tested),18+,2014,Percent,NA
New Jersey,High cholesterol (among those tested),18+,2014,Num of persons,NA
New Jersey,High cholesterol (among those tested),18+,2015,Percent,40%
New Jersey,High cholesterol (among those tested),18+,2015,Num of persons,"371,123"
New Jersey,High cholesterol (among those tested),18+,2016,Percent,NA
New Jersey,High cholesterol (among those tested),18+,2016,Num of persons,NA
New Jersey,Hypertension,18+,2013,Percent,37%
New Jersey,Hypertension,18+,2013,Num of persons,"519,378"
New Jersey,Hypertension,18+,2014,Percent,NA
New Jersey,Hypertension,18+,2014,Num of persons,NA
